"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] MovieTitleComparatorEqual record1Value","[0] MovieTitleComparatorEqual record2Value","[0] MovieTitleComparatorEqual record1PreprocessedValue","[0] MovieTitleComparatorEqual record2PreprocessedValue","[0] MovieTitleComparatorEqual similarity","[0] MovieTitleComparatorEqual postproccesedSimilarity","[1] MovieDateComparator2Years record1Value","[1] MovieDateComparator2Years record2Value","[1] MovieDateComparator2Years record1PreprocessedValue","[1] MovieDateComparator2Years record2PreprocessedValue","[1] MovieDateComparator2Years similarity","[1] MovieDateComparator2Years postproccesedSimilarity","[2] MovieDateComparator10Years record1Value","[2] MovieDateComparator10Years record2Value","[2] MovieDateComparator10Years record1PreprocessedValue","[2] MovieDateComparator10Years record2PreprocessedValue","[2] MovieDateComparator10Years similarity","[2] MovieDateComparator10Years postproccesedSimilarity","[3] MovieDirectorComparatorJaccard record1Value","[3] MovieDirectorComparatorJaccard record2Value","[3] MovieDirectorComparatorJaccard record1PreprocessedValue","[3] MovieDirectorComparatorJaccard record2PreprocessedValue","[3] MovieDirectorComparatorJaccard similarity","[3] MovieDirectorComparatorJaccard postproccesedSimilarity","[4] MovieDirectorComparatorLevenshtein record1Value","[4] MovieDirectorComparatorLevenshtein record2Value","[4] MovieDirectorComparatorLevenshtein record1PreprocessedValue","[4] MovieDirectorComparatorLevenshtein record2PreprocessedValue","[4] MovieDirectorComparatorLevenshtein similarity","[4] MovieDirectorComparatorLevenshtein postproccesedSimilarity","[5] MovieDirectorComparatorLowerCaseJaccard record1Value","[5] MovieDirectorComparatorLowerCaseJaccard record2Value","[5] MovieDirectorComparatorLowerCaseJaccard record1PreprocessedValue","[5] MovieDirectorComparatorLowerCaseJaccard record2PreprocessedValue","[5] MovieDirectorComparatorLowerCaseJaccard similarity","[5] MovieDirectorComparatorLowerCaseJaccard postproccesedSimilarity","[6] MovieTitleComparatorLevenshtein record1Value","[6] MovieTitleComparatorLevenshtein record2Value","[6] MovieTitleComparatorLevenshtein record1PreprocessedValue","[6] MovieTitleComparatorLevenshtein record2PreprocessedValue","[6] MovieTitleComparatorLevenshtein similarity","[6] MovieTitleComparatorLevenshtein postproccesedSimilarity","[7] MovieTitleComparatorJaccard record1Value","[7] MovieTitleComparatorJaccard record2Value","[7] MovieTitleComparatorJaccard record1PreprocessedValue","[7] MovieTitleComparatorJaccard record2PreprocessedValue","[7] MovieTitleComparatorJaccard similarity","[7] MovieTitleComparatorJaccard postproccesedSimilarity"
"WekaMatchingRule","academy_awards_1776","actors_51","0.998967458409235",,"Annie Hall","Annie Hall","Annie Hall","Annie Hall","1.0","1.0","1977-01-01T00:00","1978-01-01T00:00","1977-01-01T00:00","1978-01-01T00:00","0.5","0.5","1977-01-01T00:00","1978-01-01T00:00","1977-01-01T00:00","1978-01-01T00:00","0.9","0.9","Woody Allen",,"Woody Allen",,"0.0","0.0","Woody Allen",,"Woody Allen",,"0.0","0.0","Woody Allen",,"woody allen","","0.0","0.0","Annie Hall","Annie Hall","Annie Hall","Annie Hall","1.0","1.0","Annie Hall","Annie Hall","Annie Hall","Annie Hall","1.0","1.0"
"WekaMatchingRule","academy_awards_1515","actors_46","4.8425205146616964E-8",,"Carmen","Cabaret","Carmen","Cabaret","0.0","0.0","1983-01-01T00:00","1973-01-01T00:00","1983-01-01T00:00","1973-01-01T00:00","0.0","0.0","1983-01-01T00:00","1973-01-01T00:00","1983-01-01T00:00","1973-01-01T00:00","0.0","0.0","",,"",,"0.0","0.0","",,"",,"0.0","0.0","",,"","","0.0","0.0","Carmen","Cabaret","Carmen","Cabaret","0.4285714285714286","0.4285714285714286","Carmen","Cabaret","Carmen","Cabaret","0.0","0.0"
"WekaMatchingRule","academy_awards_1724","actors_61","7.890402237973746E-8",,"Moonraker","Moonstruck","Moonraker","Moonstruck","0.0","0.0","1979-01-01T00:00","1988-01-01T00:00","1979-01-01T00:00","1988-01-01T00:00","0.0","0.0","1979-01-01T00:00","1988-01-01T00:00","1979-01-01T00:00","1988-01-01T00:00","0.09999999999999998","0.09999999999999998","",,"",,"0.0","0.0","",,"",,"0.0","0.0","",,"","","0.0","0.0","Moonraker","Moonstruck","Moonraker","Moonstruck","0.4","0.4","Moonraker","Moonstruck","Moonraker","Moonstruck","0.0","0.0"
"WekaMatchingRule","academy_awards_1731","actors_52","0.998967458409235","1","Coming Home","Coming Home","Coming Home","Coming Home","1.0","1.0","1978-01-01T00:00","1979-01-01T00:00","1978-01-01T00:00","1979-01-01T00:00","0.5","0.5","1978-01-01T00:00","1979-01-01T00:00","1978-01-01T00:00","1979-01-01T00:00","0.9","0.9","Hal Ashby",,"Hal Ashby",,"0.0","0.0","Hal Ashby",,"Hal Ashby",,"0.0","0.0","Hal Ashby",,"hal ashby","","0.0","0.0","Coming Home","Coming Home","Coming Home","Coming Home","1.0","1.0","Coming Home","Coming Home","Coming Home","Coming Home","1.0","1.0"
"WekaMatchingRule","academy_awards_472","actors_134","1.1671296412450029E-7",,"The Collector of Bedford Street","The Color of Money","The Collector of Bedford Street","The Color of Money","0.0","0.0","2002-01-01T00:00","1987-01-01T00:00","2002-01-01T00:00","1987-01-01T00:00","0.0","0.0","2002-01-01T00:00","1987-01-01T00:00","2002-01-01T00:00","1987-01-01T00:00","0.0","0.0","",,"",,"0.0","0.0","",,"",,"0.0","0.0","",,"","","0.0","0.0","The Collector of Bedford Street","The Color of Money","The Collector of Bedford Street","The Color of Money","0.4838709677419355","0.4838709677419355","The Collector of Bedford Street","The Color of Money","The Collector of Bedford Street","The Color of Money","0.2857142857142857","0.2857142857142857"
"WekaMatchingRule","academy_awards_3124","actors_103","0.998967458409235","1","High Noon","High Noon","High Noon","High Noon","1.0","1.0","1952-01-01T00:00","1953-01-01T00:00","1952-01-01T00:00","1953-01-01T00:00","0.5","0.5","1952-01-01T00:00","1953-01-01T00:00","1952-01-01T00:00","1953-01-01T00:00","0.9","0.9","Fred Zinnemann",,"Fred Zinnemann",,"0.0","0.0","Fred Zinnemann",,"Fred Zinnemann",,"0.0","0.0","Fred Zinnemann",,"fred zinnemann","","0.0","0.0","High Noon","High Noon","High Noon","High Noon","1.0","1.0","High Noon","High Noon","High Noon","High Noon","1.0","1.0"
"WekaMatchingRule","academy_awards_4500","actors_24",,"0","The Divorcee","A Streetcar Named Desire","The Divorcee","A Streetcar Named Desire","0.0","0.0","1929-01-01T00:00","1952-01-01T00:00","1929-01-01T00:00","1952-01-01T00:00","0.0","0.0","1929-01-01T00:00","1952-01-01T00:00","1929-01-01T00:00","1952-01-01T00:00","0.0","0.0","",,"",,"0.0","0.0","",,"",,"0.0","0.0","",,"","","0.0","0.0","The Divorcee","A Streetcar Named Desire","The Divorcee","A Streetcar Named Desire","0.20833333333333337","0.20833333333333337","The Divorcee","A Streetcar Named Desire","The Divorcee","A Streetcar Named Desire","0.0","0.0"
"WekaMatchingRule","academy_awards_2943","actors_106","0.998967458409235","1","Marty","Marty","Marty","Marty","1.0","1.0","1955-01-01T00:00","1956-01-01T00:00","1955-01-01T00:00","1956-01-01T00:00","0.5","0.5","1955-01-01T00:00","1956-01-01T00:00","1955-01-01T00:00","1956-01-01T00:00","0.9","0.9","Delbert Mann",,"Delbert Mann",,"0.0","0.0","Delbert Mann",,"Delbert Mann",,"0.0","0.0","Delbert Mann",,"delbert mann","","0.0","0.0","Marty","Marty","Marty","Marty","1.0","1.0","Marty","Marty","Marty","Marty","1.0","1.0"
"WekaMatchingRule","academy_awards_1963","actors_132","1.2299534329997984E-8",,"Amarcord","Amadeus","Amarcord","Amadeus","0.0","0.0","1974-01-01T00:00","1985-01-01T00:00","1974-01-01T00:00","1985-01-01T00:00","0.0","0.0","1974-01-01T00:00","1985-01-01T00:00","1974-01-01T00:00","1985-01-01T00:00","0.0","0.0","",,"",,"0.0","0.0","",,"",,"0.0","0.0","",,"","","0.0","0.0","Amarcord","Amadeus","Amarcord","Amadeus","0.375","0.375","Amarcord","Amadeus","Amarcord","Amadeus","0.0","0.0"
"WekaMatchingRule","academy_awards_636","actors_46","4.8425205146616964E-8",,"Caravan","Cabaret","Caravan","Cabaret","0.0","0.0","1999-01-01T00:00","1973-01-01T00:00","1999-01-01T00:00","1973-01-01T00:00","0.0","0.0","1999-01-01T00:00","1973-01-01T00:00","1999-01-01T00:00","1973-01-01T00:00","0.0","0.0","",,"",,"0.0","0.0","",,"",,"0.0","0.0","",,"","","0.0","0.0","Caravan","Cabaret","Caravan","Cabaret","0.4285714285714286","0.4285714285714286","Caravan","Cabaret","Caravan","Cabaret","0.0","0.0"
