"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Date","0.0","Date-{academy_awards_4080+actors_90}","academy_awards_4080+actors_90","{1939-01-01T00:00|1940-01-01T00:00}","1940-01-01T00:00","false","1939-01-01T00:00"
"Date","0.6666666666666666","Date-{academy_awards_1392+actors_59+golden_globes_1282}","academy_awards_1392+actors_59+golden_globes_1282","{1985-01-01T00:00|1986-01-01T00:00|1986-01-01T00:00}","1986-01-01T00:00",,
"Director","1.0","Director-{academy_awards_2570}","academy_awards_2570","{Arthur Penn}","Arthur Penn",,
"Actors","1.0","Actors-{academy_awards_1229+actors_62+golden_globes_1125}","academy_awards_1229+actors_62+golden_globes_1125","{[[Actor: Jodie Foster]]|[[Actor: Jodie Foster]]|[[Actor: Jodie Foster]]}","[[Actor: Jodie Foster]]",,
"Actors","0.6666666666666666","Actors-{academy_awards_968+actors_67+golden_globes_866}","academy_awards_968+actors_67+golden_globes_866","{[[Actor: Holly Hunter], [Actor: Anna Paquin]]|[[Actor: Holly Hunter]]|[[Actor: Holly Hunter], [Actor: Anna Paquin]]}","[[Actor: Anna Paquin], [Actor: Holly Hunter]]",,
"Date","0.6666666666666666","Date-{academy_awards_2240+actors_41+golden_globes_1979}","academy_awards_2240+actors_41+golden_globes_1979","{1968-01-01T00:00|1969-01-01T00:00|1969-01-01T00:00}","1969-01-01T00:00",,
"Director","1.0","Director-{academy_awards_1829+golden_globes_1684}","academy_awards_1829+golden_globes_1684","{Sidney Lumet|Sidney Lumet}","Sidney Lumet",,
"Date","0.6666666666666666","Date-{academy_awards_2337+actors_117+golden_globes_2004}","academy_awards_2337+actors_117+golden_globes_2004","{1966-01-01T00:00|1967-01-01T00:00|1967-01-01T00:00}","1967-01-01T00:00",,
"Date","0.0","Date-{academy_awards_4146+actors_11}","academy_awards_4146+actors_11","{1938-01-01T00:00|1939-01-01T00:00}","1939-01-01T00:00","false","1938-01-01T00:00"
"Title","1.0","Title-{academy_awards_2506+actors_36+golden_globes_2062}","academy_awards_2506+actors_36+golden_globes_2062","{Hud|Hud|Hud}","Hud",,
"Actors","0.6666666666666666","Actors-{academy_awards_2783+actors_109+golden_globes_2165}","academy_awards_2783+actors_109+golden_globes_2165","{[[Actor: David Niven], [Actor: Deborah Kerr], [Actor: Wendy Hiller]]|[[Actor: David Niven]]|[[Actor: Deborah Kerr], [Actor: David Niven], [Actor: Wendy Hiller]]}","[[Actor: David Niven], [Actor: Wendy Hiller], [Actor: Deborah Kerr]]",,
"Title","1.0","Title-{academy_awards_671+actors_72+golden_globes_623}","academy_awards_671+actors_72+golden_globes_623","{Shakespeare in Love|Shakespeare in Love|Shakespeare In Love}","Shakespeare in Love",,
"Director","1.0","Director-{academy_awards_2620+golden_globes_2114}","academy_awards_2620+golden_globes_2114","{Stanley Kramer|Stanley Kramer}","Stanley Kramer",,
"Director","1.0","Director-{academy_awards_1671+golden_globes_1569}","academy_awards_1671+golden_globes_1569","{Robert Benton|Robert Benton}","Robert Benton",,
"Director","1.0","Director-{academy_awards_1383}","academy_awards_1383","{Hector Babenco}","Hector Babenco",,
"Date","0.6666666666666666","Date-{academy_awards_3716+actors_16+golden_globes_2279}","academy_awards_3716+actors_16+golden_globes_2279","{1943-01-01T00:00|1944-01-01T00:00|1944-01-01T00:00}","1944-01-01T00:00",,
"Actors","0.0","Actors-{academy_awards_902+actors_141+golden_globes_817}","academy_awards_902+actors_141+golden_globes_817","{[[Actor: Tom Hanks], [Actor: Gary Sinise]]|[[Actor: Tom Hanks]]|[[Actor: Tom Hanks], [Actor: Robin Wright Penn], [Actor: Gary Sinise]]}","[[Actor: Tom Hanks], [Actor: Robin Wright Penn], [Actor: Gary Sinise]]",,
